Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%),InReq,wcount
8,0.01,-29.58,100,100,0,0
8,0.01,77.74,100,100,0,0
8,0.01,77.88,100,100,0,0
8,0.03,77.88,100,100,0,0
8,-0.01,77.88,100,100,0,0
8,0,77.74,100,100,0,0
8,0.01,77.88,100,100,0,0
8,0.11,77.88,100,100,0,0
8,0.1,77.88,100,100,0,0
8,0.14,78.46,100,100,0,0
8,0.1,78.17,100,100,0,0
8,0.1,77.74,100,100,0,0
8,0.09,78.03,100,100,0,0
8,0.1,78.03,100,100,0,0
8,0.1,77.88,100,100,0,0
8,0.11,77.88,100,100,0,0
8,0.11,78.03,100,99.86,0,0
8,0.1,77.88,99.86,99.86,0,0
8,0.11,77.74,99.86,99.86,0,0
8,0.1,78.17,99.86,99.86,0,0
8,0.1,78.03,99.86,99.86,0,0
8,0.1,78.03,99.86,99.86,1,5
8,0.18,78.03,99.86,99.86,1,6
8,0.11,78.46,99.86,99.86,1,6
8,0.25,78.03,99.86,99.86,1,6
8,0.24,78.17,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.09,78.03,99.86,99.86,1,6
8,0.11,77.88,99.86,99.86,1,6
8,0.11,78.03,99.86,99.86,1,6
8,0.13,78.03,99.86,99.86,1,6
8,0.11,78.03,99.86,99.86,1,6
8,0.08,78.17,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.12,78.03,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.11,77.88,99.86,99.86,1,6
8,0.1,78.61,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.12,78.03,99.86,99.86,1,6
8,0.12,78.17,99.86,99.86,1,6
8,0.09,77.88,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.12,78.17,99.86,99.86,1,6
8,0.12,78.61,99.86,99.86,1,6
8,0.12,78.17,99.86,99.86,1,6
8,0.17,78.03,99.86,99.86,1,6
8,0.11,78.17,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.21,78.32,99.86,99.86,1,6
8,0.28,78.17,99.86,99.86,1,6
8,0.27,78.17,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
7.1,-1.78,78.03,99.86,99.86,1,6
8,0.1,78.46,99.86,99.86,1,6
8,0.12,78.17,99.86,99.86,1,6
8,0.09,78.17,99.86,99.86,1,6
8,0.09,78.17,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.12,78.17,99.86,99.86,1,6
8,0.12,78.17,99.86,99.86,1,6
8,0.1,77.88,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.14,78.17,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.1,74.26,99.86,99.86,1,6
8,0.11,78.03,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.33,78.03,99.86,99.86,1,6
8,0.12,78.03,99.86,99.86,1,6
8,0.11,78.17,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.12,78.17,99.86,99.86,1,6
8,0.09,78.17,99.86,99.86,1,6
8,0.12,78.17,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.11,77.88,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.12,77.88,99.86,99.86,1,6
8,0.09,78.03,99.86,99.86,1,6
8,0.12,77.88,99.86,99.86,1,6
8,0.11,77.88,99.86,99.86,1,6
8,0.1,78.03,99.86,99.86,1,6
8,0.1,78.17,99.86,99.86,1,6
8,0.32,78.17,99.86,99.86,1,6
