Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%)
6.78,0.03,88.18,0,100
4.52,0,88.47,100,100
2.9,0,88.61,100,100
2.16,0.01,88.61,100,100
1.62,0.01,88.61,100,100
8.39,0,88.76,100,99.86
8.39,0.01,88.61,99.86,99.86
8.39,0.01,88.18,99.86,99.86
8.39,-0.01,88.9,99.86,99.86
8.36,0.02,88.18,99.86,99.86
8.39,0.01,88.76,99.86,99.86
8.39,0.01,88.61,99.86,99.86
8.38,0.01,88.03,99.86,99.86
8.39,-0.01,88.03,99.86,99.72
8.33,0.12,87.89,99.72,99.57
8.16,1.23,87.6,99.57,99.57
8.31,0.1,88.18,99.57,99.57
8.31,0.1,88.18,99.57,99.57
8.11,1.31,88.03,99.57,99.57
8.07,1.62,88.18,99.57,99.57
8.28,0.14,88.03,99.57,99.57
8.09,1.58,87.89,99.57,99.43
8.06,1.6,88.03,99.43,99.43
8.28,0.16,87.74,99.43,99.43
8.3,0.1,87.89,99.43,99.43
8.05,1.58,87.89,99.43,99.43
8.03,1.57,87.89,99.43,99.43
8.1,1.23,88.03,99.43,99.43
8.25,0.09,87.74,99.43,99.29
8.3,0.09,87.74,99.29,99.29
8.29,0.08,88.03,99.29,99.29
8.3,0.1,88.18,99.29,99.29
8.3,0.1,87.89,99.29,99.29
8.29,0.37,88.18,99.29,99.29
8.3,0.09,88.03,99.29,99.29
8.3,0.11,87.89,99.29,99.29
8.31,0.1,87.89,99.29,99.29
8.31,0.08,88.32,99.29,99.29
8.3,0.16,88.18,99.29,99.29
8.3,0.1,87.89,99.29,99.29
8.3,0.1,88.03,99.29,99.29
8.31,0.12,87.89,99.29,99.29
8.29,0.12,88.03,99.29,99.29
8.3,0.3,88.18,99.29,99.29
8.3,0.09,88.18,99.29,99.29
8.3,0.11,88.32,99.29,99.29
8.31,0.1,88.32,99.29,99.29
8.3,0.1,88.76,99.29,99.29
8.3,0.12,88.47,99.29,99.29
8.3,0.08,88.9,99.29,99.29
8.31,0.08,89.05,99.29,99.29
8.03,1.51,89.05,99.29,99.29
8.26,0.2,88.9,99.29,99.29
8.03,1.55,88.76,99.29,99.15
8.07,1.17,88.9,99.15,99.15
8.24,0.16,89.34,99.15,99.15
8.09,1.18,88.9,99.15,99.15
8.01,1.57,89.19,99.15,99.15
8,1.55,89.19,99.15,99.15
8.2,0.16,89.05,99.15,99
8.06,1.11,88.9,99,99
8.21,0.1,89.05,99,98.58
8.2,0.1,89.34,98.58,98.58
7.96,1.54,89.05,98.58,98.44
8.03,1.23,89.05,98.44,98.44
8.2,0.12,89.63,98.44,98.44
7.98,1.38,89.19,98.44,97.87
7.97,1.51,89.48,97.87,97.87
8.16,0.1,89.34,97.87,97.72
7.8,0.57,89.19,97.72,97.72
8.17,0.14,89.19,97.72,97.58
7.95,1.19,89.05,97.58,97.58
7.94,1.5,89.19,97.58,97.44
8.14,0.1,89.19,97.44,97.44
7.9,1.48,89.19,97.44,97.3
7.76,1.27,89.05,97.3,97.3
7.9,1.54,89.19,97.3,97.15
7.99,0.83,88.76,97.15,97.15
